Die,stud,mold,PCB,Total_warpage,Unit_warpage,NLPLWK_up_14400,NLPLWK_up_10800,NLPLWK_up_7200,NLPLWK_up_3600,NLPLWK_down_14400,NLPLWK_down_10800,NLPLWK_down_7200,NLPLWK_down_3600,Acc_Equi_Strain_up,Acc_Equi_Strain_down,Acc_Equi_Strain_max,Nf_pred (cycles),Prediction,DeltaW,Residual
150,70,65,1.0,9.722,8.0863,1.7566,1.4153,1.0697,0.7139,1.3915,1.1156,0.8362,0.5472,0.05171,0.04771,0.05171,1253.332163,159.54066,0.5489817,35.62351
150,70,65,0.8,11.399,8.9512,1.4416,1.181,0.9163,0.6415,1.2316,1.0,0.7646,0.5181,0.04645,0.04495,0.04645,2960.331072,253.64746,0.46333474,25.135534
150,70,55,1.0,9.7296,8.1069,1.7332,1.3979,1.0583,0.7083,1.3861,1.1115,0.8334,0.5456,0.05123,0.04757,0.05123,1286.693939,163.27443,0.54435533,35.079964
150,70,55,0.8,11.413,8.978,1.4221,1.1663,0.9064,0.6364,1.2268,0.9962,0.7619,0.5164,0.04602,0.04482,0.04602,2550.745539,254.48085,0.46277907,25.064295
150,60,75,1.0,9.6973,8.0778,1.7458,1.4069,1.0637,0.7104,1.4164,1.1345,0.8491,0.554,0.05152,0.04827,0.05152,1220.123765,154.1262,0.5559599,36.43883
150,60,75,0.8,11.392,8.9571,1.4446,1.1833,0.918,0.6427,1.2557,1.0185,0.7776,0.5259,0.004654,0.04557,0.04557,2849.648203,247.37025,0.46760184,25.681057
150,60,65,1.0,9.7053,8.097,1.7225,1.3896,1.0523,0.7049,1.4121,1.1312,0.8468,0.5527,0.05104,0.04815,0.05104,1249.971671,157.58243,0.55146766,35.914597
150,60,65,0.8,11.406,8.9823,1.4248,1.1683,0.9079,0.6374,1.2524,1.0159,0.7556,0.5244,0.0461,0.04544,0.0461,2934.638099,248.13562,0.46707368,25.613684
150,60,55,1.0,9.712,8.1182,1.6971,1.3706,1.0398,0.6989,1.4068,1.1271,0.8739,0.5511,0.0803,0.07722,0.0803,1285.141042,161.8621,0.54608816,35.283836
150,60,55,0.8,11.419,9.0089,1.4036,1.1524,0.8971,0.6318,1.2476,1.0121,0.7728,0.5225,0.04563,0.0453,0.04563,2505.95811,250.33722,0.46556675,25.421215
