Die,stud,mold,PCB,Total_warpage,Unit_warpage,NLPLWK_up_14400,NLPLWK_up_10800,NLPLWK_up_7200,NLPLWK_up_3600,NLPLWK_down_14400,NLPLWK_down_10800,NLPLWK_down_7200,NLPLWK_down_3600,Acc_Equi_Strain_up,Acc_Equi_Strain_down,Acc_Equi_Strain_max,Nf_pred (cycles)
200,80,55,0.8,11.464,8.8789,1.5727,1.279,0.981,0.6726,1.2531,1.0174,0.7778,0.5271,0.0494,0.0457,0.0494,2227.576353
200,80,55,0.6,14.156,10.181,1.1473,0.9568,0.7622,0.5564,1.0717,0.8857,0.6945,0.4892,0.0415,0.0427,0.0427,602.7545407
200,70,75,1,9.8229,8.0757,1.9701,1.5754,1.1761,0.7666,1.4581,1.1674,0.8731,0.5687,0.05621,0.04952,0.05621,2115.195211
200,70,75,0.8,14.232,10.246,1.1741,0.9789,0.7797,0.5692,1.0959,0.9054,0.7098,0.5002,0.0422,0.0434,0.0434,2463.783686
200,70,75,0.6,14.364,10.352,1.1026,0.9238,0.7412,0.5471,1.2829,1.1035,0.9178,0.7162,0.04087,0.04901,0.04901,611.4048372
200,70,65,1,9.8358,8.0896,1.9551,1.5643,1.1689,0.7632,1.4559,1.1656,0.8718,0.56806,0.5591,0.04947,0.5591,1044.193578
200,70,65,0.8,11.469,8.904,1.5761,1.2821,0.984,0.6756,1.2736,1.0332,0.7886,0.5331,0.0495,0.0462,0.0495,2516.664374
200,70,65,0.6,14.391,10.378,1.0894,0.9134,0.7337,0.5423,1.2775,1.0988,0.9138,0.7129,0.04053,0.04889,0.04889,620.7645298
200,70,55,1,9.848,8.1048,1.9388,1.5521,1.161,0.7595,1.4536,1.1639,0.8705,0.5671,0.0555,0.0494,0.0555,1063.419314
200,70,55,0.8,11.488,8.9255,1.5611,1.2708,0.9763,0.6716,1.271,1.0312,0.7874,0.5327,0.0491,0.0461,0.0491,2200.79355
200,70,55,0.6,14.283,10.299,1.1457,0.9567,0.7636,0.5593,1.0893,0.8996,0.7049,0.496,0.0415,0.0432,0.0432,605.8890877
200,60,75,1,9.8096,8.0892,1.944,1.5558,1.1631,0.7602,1.478,1.1823,0.8831,0.5737,0.05574,0.04994,0.05574,1016.144263
200,60,75,0.8,11.462,8.9209,1.5888,1.2934,0.9939,0.6843,1.2981,1.0523,0.8024,0.5417,0.0498,0.0468,0.0498,2425.047681
200,60,75,0.6,14.483,10.462,1.0869,0.9121,0.7336,0.5441,1.3147,1.1287,0.9361,0.7274,0.04038,0.04965,0.04965,614.2968782
200,60,65,1,9.8223,8.1039,1.9342,1.5499,1.1612,0.7623,1.4776,1.1821,0.8832,0.5741,0.0556,0.04993,0.0556,1029.819813
200,60,65,0.8,11.424,8.8364,1.6014,1.3008,0.9959,0.6808,1.2574,1.0201,0.7783,0.5269,0.05,0.0459,0.05,2482.734742
200,60,65,0.6,14.511,10.49,1.0726,0.9009,0.7255,0.5393,1.3091,1.1238,0.932,0.724,0.04002,0.04948,0.04948,624.651271
200,60,55,1,9.8341,8.1195,1.9166,1.5368,1.1526,0.7582,1.4754,1.1805,0.8821,0.5737,0.0552,0.0498,0.0552,1084.373274
200,60,55,0.8,11.463,8.8789,1.5718,1.2784,0.9807,0.6728,1.2353,1.0032,0.7674,0.5205,0.0493,0.0451,0.0493,2280.795398
200,60,55,0.6,14.155,10.181,1.1445,0.9549,0.7612,0.5563,1.0582,0.8755,0.6877,0.4852,0.0415,0.0424,0.0424,713.3517671
